# ЛУГ (рівень 1) — розклад сцени. Redmi 8A, «Плавно», заморожена точка 60 м, розгортка масштабу.
# Показник — сума медіан по сходах [0.45 0.60 0.75 0.90 1.00], НЕ мілісекунди; поряд кадр @1.0.
# Для кожного прапорця вказано СТРУКТУРНИЙ лічильник, який мусить змінитись: якщо він не
# змінився там, де мав, замір міряв не те, що написано в назві (так уже сталось із відсіканням).
серія	варіант	показник	кадр@1.0	дельта_мс	виклики	примітиви	очікуваний_лічильник	збіглось
5	стіни без освітлення	183.3	49.5	-8.8	207	127373	БЕЗ ЗМІН	так
5	контроль (кінець)	223.4	58.3	0	207	127371	—	—
# СЕРІЯ 5 НЕДІЙСНА ЯК ДОКАЗ ВПРОВАДЖЕННЯ: вона міряла редакцію з МНОЖЕННЯМ випромінення на
# порожню текстуру, тобто 85 зі 101 матеріалу декору чорніли в тіні. Число -7,7 правильне
# для ТІЄЇ редакції, але та редакція в гру не пішла. Перезамір — серія 6.
6	як у грі (випромінення)	189.7	50.3	-7.4	206	127245	БЕЗ ЗМІН	так
6	без правки (навкол. світло)	220.9	57.7	0	206	127245	БЕЗ ЗМІН	так
6	як у грі — контроль	190.5	50.9	-7.1	206	127245	БЕЗ ЗМІН	так
6	без правки — контроль	221.6	58.0	0	206	127245	БЕЗ ЗМІН	так
# Серія 6: обидві пари повторено, дрейф 0,3-0,4%. Виграш виправленої редакції -7,25 мс.
# МІСТО, заморожена точка. Перевірка зустрічного результату розгортки, яка сказала, що в
# місті правка ПРОГРАЄ 4,1 мс. Заморожена проба каже протилежне — і обидві праві: вона
# зупиняє гру, тож не бачить щокадрової ціни, яка й з'їдала виграш (див. docs/MEMORY.md).
7	місто (рів.12) як у грі	152.9	40.0	-3.1	170	144828	БЕЗ ЗМІН	так
7	місто (рів.12) без правки	165.3	43.1	0	170	144828	БЕЗ ЗМІН	так
7	місто (рів.12) як у грі — контроль	152.4	40.3	-3.0	170	144828	БЕЗ ЗМІН	так
7	місто (рів.12) без правки — контроль	165.0	43.3	0	170	144828	БЕЗ ЗМІН	так
8	місто (рів.13) як у грі	151.7	39.6	-3.7	178	149186	БЕЗ ЗМІН	так
8	місто (рів.13) без правки	164.8	43.3	0	178	149186	БЕЗ ЗМІН	так
8	місто (рів.13) як у грі — контроль	153.1	40.0	-2.6	178	149186	БЕЗ ЗМІН	так
8	місто (рів.13) без правки — контроль	162.7	42.6	0	178	149186	БЕЗ ЗМІН	так
# Обидва міста дали ~3,1 мс на користь правки, пари повторено, дрейф 0,2-0,9%.
# ЖИВА РОЗГОРТКА 17 РІВНІВ після виправлення щокадрової ціни (три прогони, контроль A/A2
# 0,1%; рівень 1 викинуто — свіжа збірка компілює шейдери; рівень 14 пропускається пробою).
# Тут «показник» — медіана кадру в мс по живій грі, а не сума медіан сходів.
світ	рівнів	з_правкою	без_правки	різниця	висновок
луг	3 (2-4)	44.6	51.8	+7.2	правка виграє
ліс	4	32.8	34.6	+1.8	правка виграє
місто	2	37.7	38.6	+0.9	правка виграє (було -4.1 до виправлення)
пляж	3	38.3	38.5	+0.2	нічия, шум
хмаринки	3	41.2	40.7	-0.5	у межах розбігу A/A2
усього	15	38.6	40.6	+2.0	правка виграє
# КАРТКИ ДАЛЕКИХ ХАТ ЛІВОРУЧ (25.09, коміт ad565f8). Заморожені точки 60 і 180 м, два прогони
# (A: 29,9->31,7 °C; B після 12 хв паузи: 30,9->32,7 °C). Показник — сума медіан сходів;
# дельта — кадр@1.0 проти першого варіанта прогону. Сторож спрацював: примітиви -48 тис. (-30%)
# і в картках, і в стелі; виклики в картках незмінні, у стелі -4..-6.
серія	варіант	показник	кадр@1.0	дельта_мс	виклики	примітиви	очікуваний_лічильник	збіглось
9A-60м	як зараз	161.3	41.7	0	175	160716	—	—
9A-60м	далекі ліві — картки	152.7	39.6	-2.1	175	112757	примітиви ВНИЗ майже як у стелі, виклики ті самі	так
9A-60м	без далеких лівих (стеля)	152.7	39.4	-2.3	169	112733	примітиви й виклики вниз	так
9A-60м	контроль	160.3	40.7	-1.0	175	160716	—	—
9A-180м	як зараз	138.2	35.2	0	183	174127	—	—
9A-180м	далекі ліві — картки	135.8	34.7	-0.5	183	120165	примітиви ВНИЗ, виклики ті самі	так
9A-180м	без далеких лівих (стеля)	136.1	34.7	-0.5	179	120143	примітиви й виклики вниз	так
9A-180м	контроль	140.2	35.7	+0.5	183	174127	—	—
9B-60м	як зараз	164.0	41.7	0	175	160676	—	—
9B-60м	далекі ліві — картки	153.1	39.4	-2.3	175	112715	примітиви ВНИЗ, виклики ті самі	так
9B-60м	без далеких лівих (стеля)	152.9	39.6	-2.1	169	112693	примітиви й виклики вниз	так
9B-60м	контроль	162.2	41.7	0.0	175	160676	—	—
9B-180м	як зараз	138.4	35.4	0	182	173999	—	—
9B-180м	далекі ліві — картки	133.0	33.7	-1.7	182	120037	примітиви ВНИЗ, виклики ті самі	так
9B-180м	без далеких лівих (стеля)	132.9	34.0	-1.4	178	120015	примітиви й виклики вниз	так
9B-180м	контроль	137.8	35.0	-0.4	182	173999	—	—
# Картки = стеля з точністю до 0,3 показника: вся досяжна ціна далеких лівих хат узята.
# Але сама стеля мала: -8..-11 показника на 60 м і -3..-5 на 180 м, тобто ~1,5-2,3 мс кадру@1.0
# на 60 м і 0,5-1,7 мс на 180 м — на межі правила «не дешевше за 2 мс». Контроль: 0,6/1,1% на
# 60 м, 1,4/0,4% на 180 м (у прогоні A на 180 м дрейф контролю 2,0 порівнянний з ефектом 2,4).
